,value,stderr
x_Ru,0.1737,0.0
amp_Ru,0.892,0.0
enot_Ru,-5.238541627721625,1.201898975711318
r_Ru_008K,1.3043980938024284,0.005591541051155547
ss_Ru_008K,0.0018515882049833954,0.0006164819321113702
r_Ru_050K,1.3045169230490508,0.00538748868415581
ss_Ru_050K,0.002340871565940665,0.000598451378152754
r_Ru_100K,1.3029903369364986,0.005202406327921742
ss_Ru_100K,0.0022189125489267027,0.0006043860156604176
r_Ru_150K,1.298500850875043,0.005537930356970799
ss_Ru_150K,0.002451405862232815,0.0006564373928361176
r_Ru_200K,1.303242757266548,0.005787775396101959
ss_Ru_200K,0.002767837046655004,0.0006702443070895624
r_Ru_300K,1.3033340880711173,0.007213319906259511
ss_Ru_300K,0.003193674406413793,0.0008108802831586998
r_Ru_100C,1.2932588465060646,0.005892519423803768
ss_Ru_100C,0.003205638438245996,0.0007522459910173099
n_RuRu,0.006964913778517712,0.04520512258185314
n_RuRh,0.3847653790122756,0.03735434772841663
n_RuPd,0.0,0.0
n_RuIr,0.2001219678122652,0.019888255842717507
n_RuPt,0.1743559099167633,0.028436634992183345
n_RuGa,0.0,0.0
x_Rh,0.1931,0.0
amp_Rh,0.922,0.0
enot_Rh,-0.04509352206914469,0.45277316212195046
r_Rh_008K,1.3601916321848582,0.0018570496591058159
ss_Rh_008K,0.0006469796116467631,0.0002563364555540601
r_Rh_050K,1.3593117519854796,0.001789886139384449
ss_Rh_050K,0.00048190068019712286,0.00023495419014956263
r_Rh_100K,1.3603728811728386,0.0016989128774897672
ss_Rh_100K,0.0007245026356077729,0.0002410744284982533
r_Rh_150K,1.3611610362165463,0.002010456637530462
ss_Rh_150K,0.0008792994923582161,0.00025379485767352536
r_Rh_200K,1.3600615071185156,0.001971760981635427
ss_Rh_200K,0.0013028489668819847,0.0002663850506246227
r_Rh_300K,1.3603680984163946,0.0028214675491297454
ss_Rh_300K,0.0021361361025441245,0.00034664002832245923
r_Rh_100C,1.3622101374230051,0.0026707594475634433
ss_Rh_100C,0.002807762678051054,0.00034210225292376955
n_RhRu,0.3847653790122756,0.03735434773992731
n_RhRh,0.43061817332443164,0.06996570223345636
n_RhPd,0.30733711078018433,0.07837340696062174
n_RhIr,0.3324358576270152,0.024220654847108954
n_RhPt,0.1600584232779214,0.014764328831344122
n_RhGa,0.16521745097700014,0.04154646850207317
x_Pd,0.177,0.0
amp_Pd,0.892,0.0
enot_Pd,0.269143480207059,0.4386265041833929
r_Pd_008K,1.3676254778634356,0.0014678059588989494
ss_Pd_008K,0.0021670539603912404,0.0001688196151704423
r_Pd_050K,1.368027927018603,0.0016163680479159511
ss_Pd_050K,0.0023209379031054636,0.0001819685013006802
r_Pd_100K,1.3682709421033619,0.001582124339520188
ss_Pd_100K,0.002445205987271542,0.0001813754648476647
r_Pd_150K,1.3667523919445137,0.0014492130975949826
ss_Pd_150K,0.002740357612550837,0.00018069403428875075
r_Pd_200K,1.3674054893913774,0.0015793012059298025
ss_Pd_200K,0.0029859829677827136,0.00018467838713787926
r_Pd_300K,1.3659838008463652,0.0019044581618629431
ss_Pd_300K,0.0036090010593056946,0.00021439496603639234
r_Pd_100C,1.365176230025501,0.0021967954897847137
ss_Pd_100C,0.004643750845255879,0.0002564309463841787
n_PdRu,0.0,0.0
n_PdRh,0.30733711078018433,0.07837340698152005
n_PdPd,0.7683456315336308,0.10028929628642298
n_PdIr,0.1297293191113722,0.02054655528145309
n_PdPt,0.294450845346407,0.022178001505583807
n_PdGa,0.47218379445060465,0.04867312287396845
x_Ir,0.1784,0.0
