,value,stderr
x_Ru,0.1737,
amp_Ru,0.892,
enot_Ru,-5.238611881069715,
r_Ru_008K,1.3044336499966422,
ss_Ru_008K,0.0018514852075924113,
r_Ru_050K,1.3045505582227142,
ss_Ru_050K,0.002340973527707308,
r_Ru_100K,1.3030209843839702,
ss_Ru_100K,0.002218144984878911,
r_Ru_150K,1.2985340202330145,
ss_Ru_150K,0.0024509497559461746,
r_Ru_200K,1.3032776941358966,
ss_Ru_200K,0.0027673870040879358,
r_Ru_300K,1.3033751202673232,
ss_Ru_300K,0.003192983018250565,
r_Ru_100C,1.2932973241425465,
ss_Ru_100C,0.0032041602006063494,
n_RuRu,0.007247410608929528,
n_RuRh,0.38474289530216943,
n_RuPd,2.9834779091686414e-09,
n_RuIr,0.20024861618934575,
n_RuPt,0.17421583797246676,
n_RuGa,5.222196008958235e-10,
x_Rh,0.1931,
amp_Rh,0.922,
enot_Rh,-0.04415061352702095,
r_Rh_008K,1.3601891492979412,
ss_Rh_008K,0.0006473724863614469,
r_Rh_050K,1.3593090576262712,
ss_Rh_050K,0.00048204753261589295,
r_Rh_100K,1.3603741483989564,
ss_Rh_100K,0.0007248435506230611,
r_Rh_150K,1.36116204395443,
ss_Rh_150K,0.0008796767885588423,
r_Rh_200K,1.360060784241402,
ss_Rh_200K,0.0013032452595254248,
r_Rh_300K,1.3603664911618254,
ss_Rh_300K,0.002136825319865697,
r_Rh_100C,1.3622134689681364,
ss_Rh_100C,0.002808754810921289,
n_RhRu,0.38474289530216943,
n_RhRh,0.4304879336174172,
n_RhPd,0.30732962424428,
n_RhIr,0.3325108383421864,
n_RhPt,0.15993332794789605,
n_RhGa,0.16516519667784202,
x_Pd,0.177,
amp_Pd,0.892,
enot_Pd,0.27001075843845884,
r_Pd_008K,1.3676307067620503,
ss_Pd_008K,0.0021674726868718967,
r_Pd_050K,1.3680335488416502,
ss_Pd_050K,0.0023214166533826923,
r_Pd_100K,1.3682748917637266,
ss_Pd_100K,0.002445635049017242,
r_Pd_150K,1.3667565506882213,
ss_Pd_150K,0.00274079351702721,
r_Pd_200K,1.367410118126425,
ss_Pd_200K,0.0029864107910229976,
r_Pd_300K,1.3659884715548234,
ss_Pd_300K,0.0036093593677467657,
r_Pd_100C,1.3651803083677565,
ss_Pd_100C,0.004644092672426365,
n_PdRu,2.9834779091686414e-09,
n_PdRh,0.30732962424428,
n_PdPd,0.7684955919013707,
n_PdIr,0.1296427972423535,
n_PdPt,0.29442235351752655,
n_PdGa,0.4724323488731619,
x_Ir,0.1784,
amp_Ir,0.831,
enot_Ir,8.540726305771514,
r_Ir_008K,1.3246213621052436,
ss_Ir_008K,0.0006107740968452931,
r_Ir_050K,1.3268347172498272,
ss_Ir_050K,0.0007471998874621241,
r_Ir_100K,1.3273477739448658,
ss_Ir_100K,0.0008693924488396627,
r_Ir_150K,1.3275067939705385,
ss_Ir_150K,0.0011528835182507888,
r_Ir_200K,1.3279662511479073,
ss_Ir_200K,0.0011981726309808587,
r_Ir_300K,1.3287167043414918,
ss_Ir_300K,0.0017645928973832419,
r_Ir_100C,1.3295584425073106,
ss_Ir_100C,0.0020576382155643364,
n_IrRu,0.20024861618934575,
n_IrRh,0.3325108383421864,
n_IrPd,0.1296427972423535,
n_IrIr,0.45863299457014484,
n_IrPt,0.21578352829210212,
n_IrGa,0.47243873731770125,
x_Pt,0.156,
amp_Pt,0.861,
enot_Pt,9.828918459883404,
r_Pt_008K,1.3871107978032358,
ss_Pt_008K,-0.0004122356485069124,
r_Pt_050K,1.3868828432462106,
ss_Pt_050K,-0.0003814356308072055,
r_Pt_100K,1.3856851748178995,
ss_Pt_100K,-0.00012474872169899854,
r_Pt_150K,1.3831761275404109,
ss_Pt_150K,0.00012856206604487232,
r_Pt_200K,1.3843188710743943,
ss_Pt_200K,0.0003352348087705139,
r_Pt_300K,1.3843642139275878,
ss_Pt_300K,0.0012465781278260617,
r_Pt_100C,1.3865893768118738,
ss_Pt_100C,0.0020728744816469447,
n_PtRu,0.17421583797246676,
n_PtRh,0.15993332794789605,
n_PtPd,0.29442235351752655,
n_PtIr,0.21578352829210212,
n_PtPt,0.1716608888709743,
n_PtGa,0.3997719871071077,
x_Ga,0.1218,
amp_Ga,0.887,
enot_Ga,-0.41166479652510257,
r_Ga_008K,1.299228773444252,
ss_Ga_008K,0.009794031306788954,
r_Ga_050K,1.2986023255417622,
ss_Ga_050K,0.011350757635791598,
r_Ga_100K,1.2984688420413064,
ss_Ga_100K,0.011279726282685877,
r_Ga_150K,1.2950733183083984,
ss_Ga_150K,0.011301770473445176,
r_Ga_200K,1.2957160354762713,
ss_Ga_200K,0.01223229781077771,
r_Ga_300K,1.2894807260600494,
ss_Ga_300K,0.014270390822254285,
r_Ga_100C,1.2829855019366052,
ss_Ga_100C,0.017114269584800598,
n_GaRu,5.222196008958235e-10,
n_GaRh,0.16516519667784202,
n_GaPd,0.4724323488731619,
n_GaIr,0.47243873731770125,
n_GaPt,0.3997719871071077,
n_GaGa,0.23171748810174497,
