,value,stderr
x_Ru,0.1744,0.0
amp_Ru,0.892,0.0
enot_Ru,-7.497391860252637,1.8339678261863666
r_Ru_008K,1.3144629191411896,0.004711829817807876
ss_Ru_008K,0.00022554144860372941,0.00045465554427669955
r_Ru_050K,1.312685838629608,0.004999013079512808
ss_Ru_050K,0.0004828917309427098,0.0004826520666415006
r_Ru_100K,1.3148462176687532,0.004577557837990771
ss_Ru_100K,0.0003165601224312414,0.0004459014860245561
r_Ru_150K,1.314085104431712,0.004717615086361953
ss_Ru_150K,0.0006492335852969315,0.00046279178589581034
r_Ru_200K,1.3142360005884879,0.004743732157999455
ss_Ru_200K,0.000808851705319967,0.0004761201040799719
r_Ru_300K,1.3138852367383094,0.0049286483632365
ss_Ru_300K,0.0011370081562961975,0.0005142867308189035
r_Ru_100C,1.3135391417134863,0.005187048624862395
ss_Ru_100C,0.0017930624277161964,0.0005403540336441097
n_RuRu,0.1411158149461056,0.04291402269265581
n_RuRh,0.026168036012194307,0.05587471199875014
n_RuPd,0.1013120257545479,0.04721886620243686
n_RuIr,0.23825507631004972,0.03781007933484531
n_RuPt,0.0,0.0
n_RuIn,0.03587112652439273,0.03257852400250948
x_Rh,0.1796,0.0
amp_Rh,0.922,0.0
enot_Rh,-1.5333083841135806,0.546869223380624
r_Rh_008K,1.3538918852650488,0.002968727961032173
ss_Rh_008K,0.0016266777855353945,0.0003117467146605532
r_Rh_050K,1.3527170445497916,0.0029727028197196618
ss_Rh_050K,0.001697995382748763,0.0003263129766932813
r_Rh_100K,1.3530612319174762,0.0031273156981095024
ss_Rh_100K,0.0018105758376024648,0.00031941896670805434
r_Rh_150K,1.352638489750873,0.0031896878837397065
ss_Rh_150K,0.00216777317492343,0.00032895452653368477
r_Rh_200K,1.352609749504127,0.003538521053560165
ss_Rh_200K,0.002615584087588557,0.0003490783128722026
r_Rh_300K,1.3525126793831292,0.004348936860989049
ss_Rh_300K,0.0035079759375542686,0.0004237331079329881
r_Rh_100C,1.3475372072753986,0.004682871876265058
ss_Rh_100C,0.003916718859880403,0.00048209344694996516
n_RhRu,0.026168036012194307,0.05587471206192513
n_RhRh,0.35386600274508795,0.13447498168735983
n_RhPd,0.051880649154252056,0.1166964827851397
n_RhIr,0.17289286894486167,0.04190857426642549
n_RhPt,0.22568971438116825,0.026890248885312037
n_RhIn,0.5889438059898191,0.05773855106940859
x_Pd,0.1732,0.0
amp_Pd,0.892,0.0
enot_Pd,0.016384272848480003,0.32790239950337857
r_Pd_008K,1.3896609327264866,0.0011884923247603906
ss_Pd_008K,0.001723129807337133,0.00016302512839182941
r_Pd_050K,1.3905360124780441,0.001216416495370366
ss_Pd_050K,0.0017832112483326084,0.00016311400258338038
r_Pd_100K,1.3891655152945013,0.0011917836935356
ss_Pd_100K,0.001998314690729191,0.00016348743145269763
r_Pd_150K,1.3892208160970196,0.0012592707130345796
ss_Pd_150K,0.0023853787194231296,0.00016877275076005485
r_Pd_200K,1.3892685968598217,0.0012809312343142567
ss_Pd_200K,0.002765418762388657,0.000171315748047685
r_Pd_300K,1.3879013843734123,0.0014639615562589642
ss_Pd_300K,0.0036096833357055175,0.00018601691927724767
r_Pd_100C,1.385330523934589,0.002091128510770257
ss_Pd_100C,0.004811006207332763,0.0002347917002162075
n_PdRu,0.1013120257545479,0.047218866277606825
n_PdRh,0.051880649154252056,0.11669648256897094
n_PdPd,1.1016790125692824,0.11507327645629199
n_PdIr,0.0,0.0
n_PdPt,0.2554632342784726,0.018201942041563907
