,value,stderr
x_Ru,0.1744,
amp_Ru,0.892,
enot_Ru,-7.497391860252637,
r_Ru_008K,1.3144629191411896,
ss_Ru_008K,0.00022554144860372941,
r_Ru_050K,1.312685838629608,
ss_Ru_050K,0.0004828917309427098,
r_Ru_100K,1.3148462176687532,
ss_Ru_100K,0.0003165601224312414,
r_Ru_150K,1.314085104431712,
ss_Ru_150K,0.0006492335852969315,
r_Ru_200K,1.3142360005884879,
ss_Ru_200K,0.000808851705319967,
r_Ru_300K,1.3138852367383094,
ss_Ru_300K,0.0011370081562961975,
r_Ru_100C,1.3135391417134863,
ss_Ru_100C,0.0017930624277161964,
n_RuRu,0.1411158149461056,
n_RuRh,0.026168036012194307,
n_RuPd,0.1013120257545479,
n_RuIr,0.23825507631004972,
n_RuPt,6.604850000258011e-11,
n_RuIn,0.03587112652439273,
x_Rh,0.1796,
amp_Rh,0.922,
enot_Rh,-1.5333083841135806,
r_Rh_008K,1.3538918852650488,
ss_Rh_008K,0.0016266777855353945,
r_Rh_050K,1.3527170445497916,
ss_Rh_050K,0.001697995382748763,
r_Rh_100K,1.3530612319174762,
ss_Rh_100K,0.0018105758376024648,
r_Rh_150K,1.352638489750873,
ss_Rh_150K,0.00216777317492343,
r_Rh_200K,1.352609749504127,
ss_Rh_200K,0.002615584087588557,
r_Rh_300K,1.3525126793831292,
ss_Rh_300K,0.0035079759375542686,
r_Rh_100C,1.3475372072753986,
ss_Rh_100C,0.003916718859880403,
n_RhRu,0.026168036012194307,
n_RhRh,0.35386600274508795,
n_RhPd,0.051880649154252056,
n_RhIr,0.17289286894486167,
n_RhPt,0.22568971438116825,
n_RhIn,0.5889438059898191,
x_Pd,0.1732,
amp_Pd,0.892,
enot_Pd,0.016384272848480003,
r_Pd_008K,1.3896609327264866,
ss_Pd_008K,0.001723129807337133,
r_Pd_050K,1.3905360124780441,
ss_Pd_050K,0.0017832112483326084,
r_Pd_100K,1.3891655152945013,
ss_Pd_100K,0.001998314690729191,
r_Pd_150K,1.3892208160970196,
ss_Pd_150K,0.0023853787194231296,
r_Pd_200K,1.3892685968598217,
ss_Pd_200K,0.002765418762388657,
r_Pd_300K,1.3879013843734123,
ss_Pd_300K,0.0036096833357055175,
r_Pd_100C,1.385330523934589,
ss_Pd_100C,0.004811006207332763,
n_PdRu,0.1013120257545479,
n_PdRh,0.051880649154252056,
n_PdPd,1.1016790125692824,
n_PdIr,5.134478853197066e-07,
n_PdPt,0.2554632342784726,
n_PdIn,0.049163005150862915,
x_Ir,0.1749,
amp_Ir,0.831,
enot_Ir,5.627831198564678,
r_Ir_008K,1.335089718930949,
ss_Ir_008K,0.0032074825830859005,
r_Ir_050K,1.3348424359609712,
ss_Ir_050K,0.0032648161694577484,
r_Ir_100K,1.3351765284058141,
ss_Ir_100K,0.003399665032041221,
r_Ir_150K,1.3350973209086403,
ss_Ir_150K,0.0036298139208539065,
r_Ir_200K,1.334871113480752,
ss_Ir_200K,0.0038528846353014638,
r_Ir_300K,1.3333796413858288,
ss_Ir_300K,0.004308818357452536,
r_Ir_100C,1.3332775656373224,
ss_Ir_100C,0.004845772277587012,
n_IrRu,0.23825507631004972,
n_IrRh,0.17289286894486167,
n_IrPd,5.134478853197066e-07,
n_IrIr,1.311847442590662,
n_IrPt,4.622005445042987e-09,
n_IrIn,5.489395874569425e-05,
x_Pt,0.1561,
amp_Pt,0.861,
enot_Pt,9.127573964714669,
r_Pt_008K,1.3838922833630447,
ss_Pt_008K,0.00075535131414985,
r_Pt_050K,1.3825943466830686,
ss_Pt_050K,0.001038567744622603,
r_Pt_100K,1.3822250301837318,
ss_Pt_100K,0.0009206285324684663,
r_Pt_150K,1.3826441698355818,
ss_Pt_150K,0.0013986895947614127,
r_Pt_200K,1.3819715826172727,
ss_Pt_200K,0.001642734537845373,
r_Pt_300K,1.3792903151388025,
ss_Pt_300K,0.0022684242328104036,
r_Pt_100C,1.3779047998546772,
ss_Pt_100C,0.002802836386250964,
n_PtRu,6.604850000258011e-11,
n_PtRh,0.22568971438116825,
n_PtPd,0.2554632342784726,
n_PtIr,4.622005445042987e-09,
n_PtPt,0.3159107643213357,
n_PtIn,0.279903165587573,
x_In,0.1418,
amp_In,0.851,
enot_In,4.906231153777962,
r_In_008K,1.4268470905339448,
ss_In_008K,0.002486268830799828,
r_In_050K,1.4256764266470983,
ss_In_050K,0.0024522912393821037,
r_In_100K,1.4276385032651133,
ss_In_100K,0.00262619640220855,
r_In_150K,1.428271275993126,
ss_In_150K,0.0031641345698304934,
r_In_200K,1.4263973135909076,
ss_In_200K,0.003634201260145518,
r_In_300K,1.4232123045671927,
ss_In_300K,0.004545319881707399,
r_In_100C,1.4242590885923516,
ss_In_100C,0.006010147502966135,
n_InRu,0.03587112652439273,
n_InRh,0.5889438059898191,
n_InPd,0.049163005150862915,
n_InIr,5.489395874569425e-05,
n_InPt,0.279903165587573,
n_InIn,0.09147011784871184,
