,value,stderr
x_Ru,0.211,0.0
amp_Ru,0.892,0.0
enot_Ru,-2.9959896730865743,1.1428647653515722
r_Ru_008K,1.3311385970577014,0.0029178221910012756
ss_Ru_008K,0.00017445029162928651,0.00035026038557111835
r_Ru_050K,1.3322336511376527,0.003141578233143065
ss_Ru_050K,0.00020352273391453546,0.00036297280289589683
r_Ru_100K,1.3308782587313204,0.003125816532334882
ss_Ru_100K,0.00046414322774430104,0.00036336365679516997
r_Ru_150K,1.3288763477658123,0.004074200551560391
ss_Ru_150K,0.0003510268303578964,0.0004595532150305088
r_Ru_200K,1.3285192387231886,0.0033843229777519588
ss_Ru_200K,0.0007968646979869049,0.00039811968409506223
r_Ru_300K,1.3302754326659998,0.00468224299888997
ss_Ru_300K,0.001225951020085389,0.0005117477742811699
r_Ru_100C,1.3190109850635108,0.00541156491633662
ss_Ru_100C,0.0018404824381068957,0.000574987186828124
n_RuRu,0.17303471752912603,0.04081811830102105
n_RuRh,0.40588547339582304,0.04288890696381404
n_RuPd,0.0,0.0
n_RuIr,0.6116904088025212,0.07087357772255923
n_RuPt,0.06393820493564673,0.04061281813040147
x_Rh,0.2027,0.0
amp_Rh,0.922,0.0
enot_Rh,0.40194618351287265,0.7009349112810285
r_Rh_008K,1.3643696056199053,0.003214589040627669
ss_Rh_008K,0.0029492907213462954,0.0002982240789317609
r_Rh_050K,1.3623936655740778,0.0037875329291402254
ss_Rh_050K,0.0030564729733474688,0.0003074725591194645
r_Rh_100K,1.363384182104135,0.0033936151698260755
ss_Rh_100K,0.0031434487695199053,0.0002973108512753924
r_Rh_150K,1.3657316680385938,0.003177940121587922
ss_Rh_150K,0.0031890687432117905,0.00030705605772988803
r_Rh_200K,1.3652704615308835,0.003146663981570431
ss_Rh_200K,0.0035428828107228866,0.0002943968033996283
r_Rh_300K,1.3635094016157725,0.004977502636094326
ss_Rh_300K,0.004463654663753793,0.0004829793233940516
r_Rh_100C,1.363313207154417,0.0072267232428228296
ss_Rh_100C,0.005088496978244263,0.0007240256898579981
n_RhRu,0.40588547339582304,0.042888906910757515
n_RhRh,0.6440596191669403,0.295810901538173
n_RhPd,0.7443779127002683,0.247712473866443
n_RhIr,0.0,0.0
n_RhPt,0.480584172690941,0.056566173734465146
x_Pd,0.2065,0.0
amp_Pd,0.892,0.0
enot_Pd,0.9961638419119893,0.3715812839456924
r_Pd_008K,1.3662087185526595,0.0014227554233582729
ss_Pd_008K,0.001202867318558313,0.00021585102765767886
r_Pd_050K,1.367607779111198,0.001695489300253901
ss_Pd_050K,0.0013447007742185542,0.0002163255209274432
r_Pd_100K,1.3662452599181276,0.0015198691971998587
ss_Pd_100K,0.001461413191066563,0.0002092507087893255
r_Pd_150K,1.3662093603961378,0.0014421517319018775
ss_Pd_150K,0.0018382824120084882,0.00018999819857362757
r_Pd_200K,1.366094100689763,0.0014282416780528892
ss_Pd_200K,0.0021971121075662105,0.0001878129307812388
r_Pd_300K,1.3654621838547052,0.003164359643177864
ss_Pd_300K,0.002857090629564686,0.00033623654547016097
r_Pd_100C,1.3632045093131187,0.004332132489512836
ss_Pd_100C,0.004187463380654695,0.0004451953944420184
n_PdRu,0.0,0.0
n_PdRh,0.7443779127002683,0.24771247333086463
n_PdPd,1.0436895505697108,0.24741875513346526
n_PdIr,0.0738993629512057,0.0576573628745721
n_PdPt,0.31097641302648316,0.04734430722965657
x_Ir,0.2017,0.0
amp_Ir,0.831,0.0
enot_Ir,8.447349663452412,0.4785417697394495
r_Ir_008K,1.346595342450726,0.004808449974744956
ss_Ir_008K,0.0030200521729014636,0.0003436489000033845
