,value,stderr
x_Ru,0.211,
amp_Ru,0.892,
enot_Ru,-2.9959896730865743,
r_Ru_008K,1.3311385970577014,
ss_Ru_008K,0.00017445029162928651,
r_Ru_050K,1.3322336511376527,
ss_Ru_050K,0.00020352273391453546,
r_Ru_100K,1.3308782587313204,
ss_Ru_100K,0.00046414322774430104,
r_Ru_150K,1.3288763477658123,
ss_Ru_150K,0.0003510268303578964,
r_Ru_200K,1.3285192387231886,
ss_Ru_200K,0.0007968646979869049,
r_Ru_300K,1.3302754326659998,
ss_Ru_300K,0.001225951020085389,
r_Ru_100C,1.3190109850635108,
ss_Ru_100C,0.0018404824381068957,
n_RuRu,0.17303471752912603,
n_RuRh,0.40588547339582304,
n_RuPd,3.610419674338061e-08,
n_RuIr,0.6116904088025212,
n_RuPt,0.06393820493564673,
x_Rh,0.2027,
amp_Rh,0.922,
enot_Rh,0.40194618351287265,
r_Rh_008K,1.3643696056199053,
ss_Rh_008K,0.0029492907213462954,
r_Rh_050K,1.3623936655740778,
ss_Rh_050K,0.0030564729733474688,
r_Rh_100K,1.363384182104135,
ss_Rh_100K,0.0031434487695199053,
r_Rh_150K,1.3657316680385938,
ss_Rh_150K,0.0031890687432117905,
r_Rh_200K,1.3652704615308835,
ss_Rh_200K,0.0035428828107228866,
r_Rh_300K,1.3635094016157725,
ss_Rh_300K,0.004463654663753793,
r_Rh_100C,1.363313207154417,
ss_Rh_100C,0.005088496978244263,
n_RhRu,0.40588547339582304,
n_RhRh,0.6440596191669401,
n_RhPd,0.7443779127002683,
n_RhIr,6.791980311504631e-10,
n_RhPt,0.480584172690941,
x_Pd,0.2065,
amp_Pd,0.892,
enot_Pd,0.9961638419119893,
r_Pd_008K,1.3662087185526595,
ss_Pd_008K,0.001202867318558313,
r_Pd_050K,1.367607779111198,
ss_Pd_050K,0.0013447007742185542,
r_Pd_100K,1.3662452599181276,
ss_Pd_100K,0.001461413191066563,
r_Pd_150K,1.3662093603961378,
ss_Pd_150K,0.0018382824120084882,
r_Pd_200K,1.366094100689763,
ss_Pd_200K,0.0021971121075662105,
r_Pd_300K,1.3654621838547052,
ss_Pd_300K,0.002857090629564686,
r_Pd_100C,1.3632045093131187,
ss_Pd_100C,0.004187463380654695,
n_PdRu,3.610419674338061e-08,
n_PdRh,0.7443779127002683,
n_PdPd,1.0436895505697108,
n_PdIr,0.0738993629512057,
n_PdPt,0.31097641302648316,
x_Ir,0.2017,
amp_Ir,0.831,
enot_Ir,8.447349663452412,
r_Ir_008K,1.346595342450726,
ss_Ir_008K,0.0030200521729014636,
r_Ir_050K,1.3454787637014796,
ss_Ir_050K,0.0029903539345541613,
r_Ir_100K,1.3443927187864066,
ss_Ir_100K,0.0033149602576943073,
r_Ir_150K,1.3466833950972241,
ss_Ir_150K,0.003402023457914523,
r_Ir_200K,1.3458563747936496,
ss_Ir_200K,0.0034376257642282503,
r_Ir_300K,1.3469493593313029,
ss_Ir_300K,0.00409409775058053,
r_Ir_100C,1.3456302350840774,
ss_Ir_100C,0.004313543159114818,
n_IrRu,0.6116904088025212,
n_IrRh,6.791980311504631e-10,
n_IrPd,0.0738993629512057,
n_IrIr,1.4785718563307646,
n_IrPt,4.230040185460027e-06,
x_Pt,0.178,
amp_Pt,0.861,
enot_Pt,9.080657133169197,
r_Pt_008K,1.3710488673959553,
ss_Pt_008K,0.0007534456032038527,
r_Pt_050K,1.371450227397369,
ss_Pt_050K,0.0009750951406699583,
r_Pt_100K,1.3736097829541862,
ss_Pt_100K,0.0010015527234949844,
r_Pt_150K,1.3700243227721929,
ss_Pt_150K,0.0008688643955169329,
r_Pt_200K,1.3659728965145406,
ss_Pt_200K,0.00122791061069363,
r_Pt_300K,1.3685639474730962,
ss_Pt_300K,0.0020538673474450333,
r_Pt_100C,1.3643607280422083,
ss_Pt_100C,0.0024318500091710334,
n_PtRu,0.06393820493564673,
n_PtRh,0.480584172690941,
n_PtPd,0.31097641302648316,
n_PtIr,4.230040185460027e-06,
n_PtPt,0.4271538163877555,
