,value,stderr
x_Ru,0.1795,0.0
amp_Ru,0.892,0.0
enot_Ru,-3.597729760954407,1.0920757897921152
r_Ru_008K,1.33632840848078,0.004116046190816106
ss_Ru_008K,0.001734679789507726,0.000351567902000597
r_Ru_050K,1.337431521661092,0.0037677361175381895
ss_Ru_050K,0.0019446354539810289,0.0003259451328736102
r_Ru_100K,1.3347548020750304,0.004129513435375277
ss_Ru_100K,0.0018971313113459744,0.0003355035128849115
r_Ru_150K,1.334639711579548,0.004272902309200256
ss_Ru_150K,0.0022481020269309007,0.00035188776704322825
r_Ru_200K,1.3330513189543534,0.0045837011967801555
ss_Ru_200K,0.002478991756896166,0.00039154453820460503
r_Ru_300K,1.3297185947079218,0.005731389123685612
ss_Ru_300K,0.003201771759325614,0.000517341823586808
r_Ru_100C,1.3321360913629872,0.006301313155573286
ss_Ru_100C,0.004221059123297271,0.0006215109613905389
n_RuRu,0.3708419968956167,0.0926732225008244
n_RuRh,1.0281255131694422e-06,0.08728013730929113
n_RuPd,5.515143897127928e-12,0.0007858905143001683
n_RuIr,0.4051552438999291,0.06295421363002579
n_RuPt,0.06765398133152445,0.04919417318663674
n_RuSn,0.22316988001872318,0.030674720668341832
x_Rh,0.1785,0.0
amp_Rh,0.922,0.0
enot_Rh,0.09030204300625194,0.4407776129113982
r_Rh_008K,1.3601998335862804,0.0031894513447329
ss_Rh_008K,0.0018167954512411427,0.0002859415840447102
r_Rh_050K,1.3592426220632297,0.0029879420415141866
ss_Rh_050K,0.0018601131904578299,0.0002775651606740313
r_Rh_100K,1.360305083487444,0.0032079559643999377
ss_Rh_100K,0.0020036212662019924,0.00028280537087189685
r_Rh_150K,1.35966315491942,0.0033151052313408658
ss_Rh_150K,0.002296105705719195,0.000309744125410018
r_Rh_200K,1.3589825379130938,0.0035107851507590296
ss_Rh_200K,0.0027006297328057557,0.0003174839352357323
r_Rh_300K,1.3604038528805915,0.004390568426196905
ss_Rh_300K,0.003652328343018115,0.00040564863179783523
r_Rh_100C,1.3588257688919394,0.004797830583066419
ss_Rh_100C,0.004624524522757885,0.00047998089399812577
n_RhRu,1.0281255131694422e-06,0.08728013704539228
n_RhRh,0.4768075656688697,0.17687858164874742
n_RhPd,0.3301748485037579,0.09181029810696004
n_RhIr,0.1626333899244623,0.05183533778988022
n_RhPt,0.2888754955480204,0.03756502354584539
n_RhSn,0.3496386861441094,0.04289201494452069
x_Pd,0.1637,0.0
amp_Pd,0.892,0.0
enot_Pd,-0.2100036769919693,0.3282945571024706
r_Pd_008K,1.3881988476487201,0.0018956069886258253
ss_Pd_008K,0.0017470366479219218,0.00017215551166952333
r_Pd_050K,1.38690196835166,0.0018430212970215539
ss_Pd_050K,0.0017352889530228572,0.00016330817801440915
r_Pd_100K,1.3859399682182734,0.0018569138191874828
ss_Pd_100K,0.0020532111221869664,0.00017703283476337353
r_Pd_150K,1.386817060199395,0.001937211309190849
ss_Pd_150K,0.0023609152988609237,0.0001747882729378448
r_Pd_200K,1.386484447748413,0.0019876225029189783
ss_Pd_200K,0.002732952141043378,0.00017936116181077708
r_Pd_300K,1.383660240059882,0.0021295296042092753
ss_Pd_300K,0.0034979678433770074,0.00020794711727787667
r_Pd_100C,1.3816325330615744,0.0025236460402867484
ss_Pd_100C,0.004848910331745436,0.0002537763405014022
n_PdRu,5.515143897127928e-12,0.0007858905143001686
n_PdRh,0.3301748485037579,0.09181029808848296
n_PdPd,0.7606952762980919,0.08653244040906198
n_PdIr,2.53438804684869e-05,0.03051193186591772
n_PdPt,0.3430829139340825,0.036007625081106075
n_PdSn,0.037783432106499815,0.028892088183573396
x_Ir,0.1612,0.0
amp_Ir,0.831,0.0
enot_Ir,5.181292206421094,0.4733035696291947
r_Ir_008K,1.3398139941531078,0.004768710523670256
ss_Ir_008K,0.003636972615310386,0.00032890891974286926
r_Ir_050K,1.3407382708937476,0.004657514212092318
ss_Ir_050K,0.003871316484014274,0.00032138531240088233
r_Ir_100K,1.3388715834647018,0.0047635316870965365
ss_Ir_100K,0.0041293810055330945,0.0003358325322419099
r_Ir_150K,1.3403678495684888,0.004696344044744702
ss_Ir_150K,0.004016303574637328,0.0003352832451412258
r_Ir_200K,1.3397079288072855,0.004814495523929574
ss_Ir_200K,0.004194629402136994,0.0003545950165045868
r_Ir_300K,1.3374421286854306,0.005048879865026391
